	Params	Mutation_Rate	Cross_Rate	Population_Size	Total_Generations	Elistism	Selection_Method	Tournament_Count	Bests_Results	Number_times_got_best_solution
169	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.05	1.0	50	200	1	T	10	384.99882352941177	9
249	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.01	1.0	250	200	1	T	10	375.8912	9
277	Mutation_Rate 0.1, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.1	0.7	250	200	5	T	10	373.281654676259	9
97	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.01	0.7	250	50	1	T	10	396.1938775510204	8
105	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.01	1.0	250	50	1	T	10	394.04622641509434	8
185	Mutation_Rate 0.1, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.1	1.0	50	200	1	T	10	383.77258064516127	8
252	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.01	1.0	250	200	5	T	2	375.40395256917	8
109	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.01	1.0	250	50	5	T	10	393.05636363636364	7
141	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.1	1.0	250	50	5	T	10	392.05140845070423	7
157	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.01	1.0	50	200	5	T	10	387.35506329113923	7
245	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.01	0.7	250	200	5	T	10	376.79756097560977	7
248	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.01	1.0	250	200	1	T	2	376.2144578313253	7
261	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.05	0.7	250	200	5	T	10	374.2267175572519	7
281	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.1	1.0	250	200	1	T	10	373.27872340425535	7
285	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.1	1.0	250	200	5	T	10	373.129020979021	7
101	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.01	0.7	250	50	5	T	10	395.0303921568627	6
113	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.05	0.7	250	50	1	T	10	392.3298245614035	6
121	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.05	1.0	250	50	1	T	10	391.80737704918033	6
149	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.01	0.7	50	200	5	T	10	390362	6
156	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.01	1.0	50	200	5	T	2	387.9458598726115	6
161	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.05	0.7	50	200	1	T	10	385.92530864197533	6
173	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.05	1.0	50	200	5	T	10	384.21321839080457	6
193	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.01	0.7	100	200	1	T	10	382.97835051546394	6
204	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.01	1.0	100	200	5	T	2	380.6170731707317	6
221	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.05	1.0	100	200	5	T	10	378.2689189189189	6
241	Mutation_Rate 0.01, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.01	0.7	250	200	1	T	10	377.40165289256197	6
269	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.05	1.0	250	200	5	T	10	373.6044444444444	6
61	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.01	1.0	100	50	5	T	10	395.3451612903226	5
117	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.05	0.7	250	50	5	T	10	392.14830508474574	5
145	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.01	0.7	50	200	1	T	10	391.55	5
205	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.01	1.0	100	200	5	T	10	380.2247572815534	5
209	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.05	0.7	100	200	1	T	10	379.3	5
213	Mutation_Rate 0.05, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.05	0.7	100	200	5	T	10	379.0817757009346	5
233	Mutation_Rate 0.1, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.1	1.0	100	200	1	T	10	377.9470085470085	5
253	Mutation_Rate 0.01, Cross_Rate 1, Population 250, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.01	1.0	250	200	5	T	10	375.1173228346457	5
257	Mutation_Rate 0.05, Cross_Rate 0.7, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.05	0.7	250	200	1	T	10	374.3910852713178	5
265	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.05	1.0	250	200	1	T	10	373.96804511278197	5
25	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.05	1.0	50	50	1	T	10	391.5269230769231	4
53	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.01	0.7	100	50	5	T	10	398.72407407407405	4
73	Mutation_Rate 0.05, Cross_Rate 1, Population 100, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.05	1.0	100	50	1	T	10	394.9445945945946	4
125	Mutation_Rate 0.05, Cross_Rate 1, Population 250, Generation 50, Elitism 5, Selection_Method T, Tournament: 10	0.05	1.0	250	50	5	T	10	391.5642857142857	4
137	Mutation_Rate 0.1, Cross_Rate 1, Population 250, Generation 50, Elitism 1, Selection_Method T, Tournament: 10	0.1	1.0	250	50	1	T	10	391.9492753623188	4
148	Mutation_Rate 0.01, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.01	0.7	50	200	5	T	2	390.9261744966443	4
153	Mutation_Rate 0.01, Cross_Rate 1, Population 50, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.01	1.0	50	200	1	T	10	388.7435064935065	4
165	Mutation_Rate 0.05, Cross_Rate 0.7, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 10	0.05	0.7	50	200	5	T	10	385.5746987951807	4
172	Mutation_Rate 0.05, Cross_Rate 1, Population 50, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.05	1.0	50	200	5	T	2	384.71098265895955	4
196	Mutation_Rate 0.01, Cross_Rate 0.7, Population 100, Generation 200, Elitism 5, Selection_Method T, Tournament: 2	0.01	0.7	100	200	5	T	2	382.59086294416244	4
200	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 2	0.01	1.0	100	200	1	T	2	381.45323383084576	4
201	Mutation_Rate 0.01, Cross_Rate 1, Population 100, Generation 200, Elitism 1, Selection_Method T, Tournament: 10	0.01	1.0	100	200	1	T	10	381.0787128712871	4
